word,root,rule,base
abazabaza,bazabaza,a~,bazabaza
akirindro,kirindro,a~,kirindro
asingotra,singotra,a~,singotra
abedibedy,bedibedy,a~,bedibedy
akiririoka,kiririoka,a~,kiririoka
asinjake,sinjake,a~,sinjake
abehambehana,behana,a~,behambehana
akisaka,kisaka,a~,kisaka
asinjike,sinjike,a~,sinjike
abengobengo,bengobengo,a~,bengobengo
akisake,kisake,a~,kisake
asintaka,sintaka,a~,sintaka
abetroka,betroka,a~,betroka
akisoka,kisoka,a~,kisoka
asinto,sinto,a~,sinto
abidabida,bidabida,a~,bidabida
akitakita,kitakita,a~,kitakita
asintona,sintona,a~,sintona
abiribiry,biribiry,a~,biribiry
akitakitaka,kitakitaka,a~,kitakitaka
asiontsiona,siontsiona,a~,siontsiona
abirioka,birioka,a~,birioka
akitamby,kitamby,a~,kitamby
asirisiry,sirisiry,a~,sirisiry
abiririoka,biririoka,a~,biririoka
akitika,kitika,a~,kitika
asisa,sisa,a~,sisa
abisioka,bisioka,a~,bisioka
akitike,kitike,a~,kitike
asisy,sisy,a~,sisy
abitaka,bitaka,a~,bitaka
akitikitika,kitikitika,a~,kitikitika
asisika,sisika,a~,sisika
abitotse,bitotse,a~,bitotse
akitoatoa,kitoatoa,a~,kitoatoa
asisike,sisike,a~,sisike
abitsika,bitsika,a~,bitsika
akitra,kitra,a~,kitra
asisina,sisina,a~,sisina
abitsobitsoka,bitsoka,a~,bitsobitsoka
akitrana,kitrana,a~,kitrana
asitake,sitake,a~,sitake
abizizioka,bizizioka,a~,bizizioka
akitroka,kitroka,a~,kitroka
asitaky,sitaky,a~,sitaky
aboadaboada,boadaboada,a~,boadaboada
akivy,kivy,a~,kivy
asitraka,sitraka,a~,sitraka
aboake,boake,a~,boake
akivilivily,kivilivily,a~,kivilivily
asitrana,sitrana,a~,sitrana
aboana,boana,a~,boana
akizaka,kizaka,a~,kizaka
asitrika,sitrika,a~,sitrika
abobobobo,bobobobo,a~,bobobobo
akizake,kizake,a~,kizake
asitse,sitse,a~,sitse
aboboka,boboka,a~,boboka
akoa,koa,a~,koa
asivana,sivana,a~,sivana
aboboke,boboke,a~,boboke
akobaka,kobaka,a~,kobaka
asizike,sizike,a~,sizike
abodika,bodika,a~,bodika
akobake,kobake,a~,kobake
asoaka,soaka,a~,soaka
aboeriboerika,boeriboerika,a~,boeriboerika
akobana,kobana,a~,kobana
asobilaka,sobilaka,a~,sobilaka
aboerika,boerika,a~,boerika
akobila,kobila,a~,kobila
asobilatra,sobilatra,a~,sobilatra
abofaka,bofaka,a~,bofaka
akobo,kobo,a~,kobo
asodika,sodika,a~,sodika
abohitra,bohitra,a~,bohitra
akoboke,koboke,a~,koboke
asodisody,sodisody,a~,sodisody
aboiboika,boiboika,a~,boiboika
akobona,kobona,a~,kobona
asodo,sodo,a~,sodo
aboika,boika,a~,boika
akodadaka,dadaka,a~,kodadaka
asodoka,sodoka,a~,sodoka
aboke,boke,a~,boke
akodia,kodia,a~,kodia
asointsoina,sointsoina,a~,sointsoina
abokinake,bokinake,a~,bokinake
akodiadia,kodia,a~,kodiadia
asoitra,soitra,a~,soitra
abolaly,bolaly,a~,bolaly
akodingy,kodingy,a~,kodingy
asoka,soka,a~,soka
abolasitra,bolasitra,a~,bolasitra
akofoka,kofoka,a~,kofoka
asokaka,sokaka,a~,sokaka
abolidy,bolidy,a~,bolidy
akofokofoka,kofoka,a~,kofokofoka
asokatra,sokatra,a~,sokatra
abolila,bolila,a~,bolila
akohaka,kohaka,a~,kohaka
asokatrika,sokatrika,a~,sokatrika
abolisatra,bolisatra,a~,bolisatra
akoike,koike,a~,koike
asokatse,sokatse,a~,sokatse
abolisatse,bolisatse,a~,bolisatse
akojy,kojy,a~,kojy
asokera,sokera,a~,sokera
abonaka,bonaka,a~,bonaka
akojijake,kojijake,a~,kojijake
asoketa,soketa,a~,soketa
abonoka,bonoka,a~,bonoka
akolepaka,kolepaka,a~,kolepaka
asoketraka,soketraka,a~,soketraka
abontana,bontana,a~,bontana
akolepake,kolepake,a~,kolepake
asokitra,sokitra,a~,sokitra
abontsina,bontsina,a~,bontsina
akolikoly,kolikoly,a~,kolikoly
asoko,soko,a~,soko
aborabora,borabora,a~,borabora
akolontake,kolontake,a~,kolontake
asola,sola,a~,sola
aboraka,boraka,a~,boraka
akomby,komby,a~,komby
